Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,77.83,93.00,43.1267,69.93
2,95.90,95.50,12.8437,69.86
3,98.07,95.33,6.4597,69.82
4,98.93,96.17,4.0137,69.92
5,99.07,97.50,3.3144,69.88
6,99.03,95.50,3.0552,70.09
7,99.40,97.83,2.2819,70.20
8,99.87,98.33,1.0849,69.82
9,99.70,97.33,1.3296,69.69
10,99.57,97.00,1.4889,70.08
11,99.70,97.33,1.1034,70.70
12,99.63,97.00,1.2798,69.69
