Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,78.77,95.00,42.6947,174.48
2,94.20,95.67,15.0827,175.03
3,96.70,95.50,9.1404,173.02
4,97.10,95.67,7.1377,174.37
5,97.80,97.67,6.5429,173.28
6,97.83,97.50,5.7501,173.85
7,98.17,96.33,4.8480,173.83
8,98.20,96.33,5.4538,173.67
9,98.57,96.50,3.7739,173.63
