Modell,Train-Acc,Val-Acc,Loss,Eoche
xception71,99.63,93.33,1.7201,4.0
mobilenetv2_100,99.4,90.5,1.7717,17.0
tf_efficientnet_b3,95.97,90.67,21.4279,5.0
densenet121,99.87,98.33,1.0849,8.0
resnet50d,97.57,97.17,15.0441,3.0
convnext_small,98.43,98.17,8.2805,5.0
