Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,73.72,82.17,141.6902,148.13
2,87.61,76.72,79.1836,147.76
3,91.67,81.06,55.8414,148.17
4,93.11,84.17,45.3045,148.04
5,94.73,86.50,36.4365,148.02
6,95.63,80.39,31.5640,147.80
7,95.84,88.78,30.8695,147.87
8,97.14,88.28,20.9016,148.17
9,97.21,87.83,22.5328,147.83
10,97.73,86.89,17.6594,147.92
11,98.24,90.72,13.5758,147.74
12,98.17,85.83,13.7078,147.86
13,98.17,88.72,14.2554,148.06
14,98.14,78.44,14.5220,148.20
15,98.47,89.06,11.8199,147.77
