Modell,Train-Acc,Val-Acc,Loss,Trainzeit (s),last epoch
xception71,99.64,94.39,7.0002,1945,16
mobilenetv2_100,99.41,89.78,4.9905,1142,19
tf_efficientnet_b3,99.58,93.28,7.4312,2210,29
densenet121,98.74,89.39,9.7684,525,7
resnet50d,99.28,91.11,14.1002,1025,14
convnext_small,99.51,95.56,3.9879,2255,17
