Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,82.34,91.28,214.8868,77.24
2,92.59,91.67,104.7070,77.06
3,95.99,92.44,57.4782,77.16
4,96.99,91.50,47.1582,77.09
5,97.80,93.00,34.5035,77.04
6,98.26,90.11,28.6605,77.40
7,98.39,93.06,26.5509,77.39
8,98.74,92.67,22.0261,77.25
9,98.69,93.06,23.2940,77.15
10,99.23,93.00,12.2761,77.22
11,99.01,91.72,16.0843,77.00
