Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,77.30,90.17,93.3244,25.30
2,92.47,93.33,36.0315,25.37
3,97.30,94.50,16.2595,25.45
4,98.07,93.33,10.9206,25.35
5,98.63,94.50,8.8778,25.32
6,98.77,93.33,8.0865,25.39
7,98.67,93.50,8.0711,25.31
