Modell,Train-Acc,Val-Acc,Loss,Eoche
xception71,98.19,94.89,30.3858,4.0
mobilenetv2_100,98.34,93.39,26.2846,14.0
tf_efficientnet_b3,99.58,95.56,8.1568,22.0
densenet121,95.32,94.83,68.2999,3.0
resnet50d,99.66,94.5,3.6983,10.0
convnext_small,97.7,96.67,34.6057,4.0
