Modell,Train-Acc,Val-Acc,Loss,Trainzeit (s),last epoch
xception71,99.13,94.83,14.8924,989,8
mobilenetv2_100,98.88,93.00,18.2349,1210,18
tf_efficientnet_b3,99.54,94.67,6.7306,2045,26
densenet121,99.11,92.06,16.0435,548,7
resnet50d,99.48,94.28,4.4846,1061,14
convnext_small,99.27,95.00,12.3555,1536,8
