Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,77.97,84.83,85.2841,27.19
2,91.27,88.50,42.1095,27.19
3,95.33,86.17,24.5800,27.26
4,95.90,91.50,22.6374,27.72
5,97.10,88.50,16.2427,26.86
6,97.63,90.50,13.7958,24.92
7,98.53,91.00,10.5508,24.97
8,98.43,88.67,9.2018,25.19
