Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,87.03,97.00,28.5118,38.65
2,98.37,96.83,4.6343,38.94
3,99.27,98.17,2.3565,38.45
4,99.50,98.67,1.6086,38.55
5,99.50,98.67,2.6073,38.50
6,99.57,97.83,1.3775,38.61
7,99.50,97.83,1.2781,38.63
8,99.70,98.00,1.2467,38.69
