Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,74.30,82.50,85.5731,66.03
2,92.10,84.67,21.2277,65.54
3,95.40,85.83,11.3056,65.08
4,96.43,85.50,9.3628,65.35
5,97.40,86.67,7.4351,65.40
6,97.50,87.00,7.2519,65.95
7,97.90,88.17,6.1245,65.69
8,98.77,88.50,3.7777,65.35
9,99.00,87.33,3.3396,65.06
10,99.03,87.67,2.9451,65.71
11,99.30,88.17,1.8734,66.08
12,99.20,88.17,2.3816,65.44
