Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,77.63,88.67,85.1391,102.48
2,90.97,93.33,40.1542,102.81
3,94.37,93.50,28.1283,102.55
4,93.33,88.83,30.4693,102.65
5,96.33,89.50,18.7247,102.54
6,96.53,93.67,17.4695,102.59
7,97.80,92.00,11.1588,102.77
8,97.53,94.50,11.4067,102.41
9,96.60,87.83,14.8131,102.34
10,97.40,94.17,12.3762,102.60
11,97.63,87.83,12.1927,102.70
12,99.00,94.17,5.3047,102.63
