Modell,Train-Acc,Val-Acc,Loss,Eoche
xception71,94.37,92.39,88.0551,3.0
mobilenetv2_100,98.26,88.61,26.0534,19.0
tf_efficientnet_b3,99.01,92.61,15.3074,19.0
densenet121,97.82,90.11,37.4642,7.0
resnet50d,99.31,92.78,6.4886,13.0
convnext_small,97.91,93.0,15.5063,6.0
