Modell,Train-Acc,Val-Acc,Loss,Eoche
xception71,97.66,95.61,40.1437,5.0
mobilenetv2_100,97.96,93.78,30.0318,15.0
tf_efficientnet_b3,96.99,95.28,46.3703,7.0
densenet121,97.87,96.28,18.9409,4.0
resnet50d,95.66,97.44,65.8983,2.0
convnext_small,99.58,98.5,3.9695,8.0
