Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,86.02,95.72,178.0483,122.32
2,95.66,97.44,65.8983,122.30
3,97.19,97.11,42.2232,122.20
4,98.11,97.00,33.2368,121.61
5,98.58,96.78,24.1336,121.90
6,98.82,92.33,21.6125,122.23
