Modell,Train-Acc,Val-Acc,Loss,Trainzeit (s),last epoch
xception71,99.53,96.39,5.8599,3230,20
mobilenetv2_100,98.57,91.22,23.4169,2265,20
tf_efficientnet_b3,99.09,95.06,16.8194,3132,26
densenet121,98.83,94.83,10.1863,1042,9
resnet50d,99.58,96.22,8.0587,1426,12
convnext_small,99.07,97.61,7.0286,1569,9
