Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,81.39,94.06,223.6793,118.71
2,93.82,96.22,89.0813,118.97
3,96.59,95.00,51.4812,118.99
4,97.57,95.56,37.2717,118.45
5,98.46,95.94,27.3913,118.80
6,98.19,96.50,29.4386,120.08
7,98.64,96.17,22.9144,118.60
8,99.30,96.94,14.1098,119.15
9,99.22,96.28,16.5245,117.84
10,99.13,96.50,16.6924,118.51
11,99.48,96.44,10.2004,119.13
12,99.58,96.22,8.0587,119.08
